id,Chamber,District,Party,city,counties,capital_phone,office_phone,home_phone,email,Timestamp,Name,Employer,Title,Type,Spouse,Spouse_employer,Spouse_title,Spouse_type,income1,income2,income3,income4,special1,special2,special3,lobby_client,Real_estate1,Real_estate2,Real_estate3,Real_estate4,Biz_interest1,Biz_interes2,Biz_ interest3,board1,board2,board3,license1,license2,license3,agency_biz1,agency_biz2,agency_biz3,agency_rep1,agency_rep2,agency_rep3,Other,Year took office
69,House,69,Democrat,,,,,,,2/14/17 10:15,Harry Garcia,none listed,,,Grace Martinez-Garcia,Mi Casitas,owner,building portable sheds,"Social Security, Veteran's administration/not listed",interest,Rents,Real estate contracts/loans,,,,,Both/Cibola/7 commercial buildings,both/Cibola/8 houses & 7 vacant lots,Harry Garcia/Cibola/house & 5 acres,Grace Martinez-Garcia/Cibola/House,Mi Casitas/Grace Martinez-Garcia,,,Democratic Party of Cibola County treasurer/Grace Martinez-Garcia,,,,,,,,,,,,,2016
70,House,70,Democrat,,,,,,,2/17/17 11:12,Tomas Salazar,retired,,,Loretta Salazar,retired,,,NMERB/Tomas Salazar,NMERB/Loretta Salazar,Social Security/Tomas Salazar,Social Security/Loretta Salazar,,,,,Tomas & Loretta Salazar/San Miguel/70 acres of grazing land,,,,,,,,,,,,,,,,,,,,2013
71,Senate,1,Republican,,,,,,,2/17/17 17:11,William Sharer,Credit Bureau of Farmington,president,credit & collections,Margaret Sharer,Credit Bureau of Farmington,vice president,credit and collections,,,,,,,,,"BS Squared/San Juan/509 E. 20th St., Farmington",,,,BS Squared/Bill Sharer/Real estate,,,Credit Bureau of Farmington/Bill Sharer,Credit Bureau of Farmington/Margaret Sharer,,Collection agency license/Bill Sharer,,,,,,,,,,2001
72,Senate,2,Republican,,,,,,,2/18/17 10:40,Steven Neville,self-employed,,,Tamara Neville,retired,,,N-Vest Inc./Steven Neville,PERA/Tamara Neville,,,,,,,San Juan/four-plex being purchased,,,,,,,,,,real estate appraiser/Steven Neville,,,,,,,,,stocks and bonds,2005
73,Senate,3,Democrat,,,,,,,2/18/17 10:21,John Pinto,N/A,,,Joan Pinto,retired,,,Navajo Nation retirement & Social Security/John Pinto,Teacher Federal Credit Union/John Pinto,Navajo Nation retirement & Social Security/Joan Pinto,,,,,,John Pinto/McKinley/160 acres with house,,,,,,,,,,,,,,,,,,,,1977
74,Senate,4,Democrat,,,,,,,2/18/17 10:50,George Munoz,self-employed,,real estate,Sharmyn Munoz,Gallup McKinley Schools,teacher,education,El Mercado Corp./George Munoz,Red Bluff Corp/George Munoz,Kryptonite LLC & Munoz LLC/George Munoz,Gallup McKinley Schools/Sharmyn Munoz,,,,,George Munoz/McKinley/commercial properties,George Munoz/McKinley/land,George Munoz/McKinley/land,George Munoz/McKinley/commercial properties,Giddy Up/George Munoz/land,El Mercado & Red Bluff/George Munoz/commercial,Munoz Block/George Munoz/owner/commercial rental,Heart Gallery/George Munoz,,,GB98/George Munoz,NM (can't be discerned)/George Munoz,Teacher/Sharmyn Munoz,"only as shareholder, less than 10%",,,,,,"Business involves create and (can't be discerned) of companies. ""To the best of my recollection this is a complete list of information requested.""",2009
75,Senate,5,Democrat,,,,,,,2/19/17 9:44,Richard Martinez,retired magistrate judge,,,N/A,,,,PERA,Social Security,rental income,,,,,,Richard Martinez/Rio Arriba/guachuparge(sp?) property,Richard Martinez/Santa Fe/Arroyo Seca Property,,,,,,,,,,,,,,,,,,,2001
76,Senate,6,Democrat,,,,,,,2/14/17 14:44,Carlos Cisneros ,Chevron Mining,HR,Mining,Patsy Cisneros,,,,Mining,,,,,,,,Carlos Cisneros/Taos/Home and 4 lots,Carlos Cisneros/Rio Arriba/Home,Carlos Cisneros/Santa Fe/Home,,,,,,,,,,,,,,,,,,1985
77,Senate,7,Republican,,,,,,,2/17/17 15:49,John Patrick Woods,self-employed,,rancher,Eva Woods,self-employed,,real estate/rentals,farming and ranching; Farmers Electric Coop Trustee/John Woods,USDA/John Woods,Wind development/John Woods,Real estate/Eva Woods,,,,,John Woods/Curry and Quay/farm and ranch land,John Woods/Curry and Quay/rental property on vacant land,"Eva Woods/Curry, Quay, Santa Fe and Roosevelt/ranch, rental and vacant land","Eva Woods/Curry, Quay, Santa Fe and Roosevelt/ranch land and rental property",Woods Farms/John Woods/agriculture,ZC Partnership/John Woods/agriculture,,,,,GB98 construction/Eva Woods,,,,,,,,,,2012
78,Senate,8,Democrat,,,,,,,2/14/17 13:51,Pete Campos,Retired,,"Administrator, Counselor, Educator",Lori Campos,,,,"N.M. Educational Retirement, Pete Campos","Social Security, Pete Campos","A.E.I.J. Campos Irrevocable Trust, Pete Campos","Disability, Lori Campos",,,,,"A.E.I.J. Campos Irrevocable Trust/Guadalupe/Commercial, residential, grazing",Pete & Lori Campos/Bernalillo/Apartment,,,,,,"Community First Bank, Las Vegas/Pete Campos",Alta Vista Regional Hospital/Pete Campos,,"Education: Administration, Counseling, Social Services, Business/Pete Campos",,,,,,,,,,1991
79,Senate,9,Democrat,,,,,,,2/18/17 7:28,John Sapien,John Sapien,owner/agent,insurance sales,N/A,,,,,commission revenue,,,,,,,John Sapien/Sandoval/three empty lots,John Sapien/Bernalillo/rental property,John Sapien/Bernalillo/rental property,,,,,,,,,,,,,,,,,,2009
80,Senate,10,Republican,,,,,,,2/14/17 15:28,Candace Gould,Heart Gallery of NM Foundation,Executive Director,501c3 Nonprofit,Shadie Leland Gould,Western Refining,Director of Government Affairs,Oil and gas refining,"Heart Foundation of NM, Candace Gould","Western Refining, Leland Gould","Century Bank, Leland Gould",,,,,Western Refining/Leland Gould,Leland Gould/San Juan County/Vacation home,,,,,,,,,,,,,,,,,,,New Mexico Oil and Gas Association Board Member; New Mexico Petroleum Marketers Association Board Member; ,2017
81,Senate,11,Democrat,,,,,,,2/19/17 9:45,Linda Lopez,self,consultant,consultant/organizational development,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997
82,Senate,12,Democrat,,,,,,,2/18/17 10:33,Gerald Ortiz y Pino,retired,,,Donna Bruzzese,self-employed,licensed professional counselor,family therapist,Social Security/Gerald Ortiz y Pino,PERA/Gerald Ortiz y Pino,Professional practice/Donna Bruzzese,Social Security/Donna Bruzzese,,,,,both/Rio Arriba/vacation home,,,,,,,,,,Licensed professional counselor/Donna Bruzzese,,,,,,,,,,2005
83,Senate,13,Democrat,,,,,,,2/18/17 10:37,Bill O'Neill,Underdog Development,self-employed,fundraiser,N/A,,,,New Mexico State Legislature,O'Neill Family Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
84,Senate,14,Democrat,,,,,,,2/18/17 10:30,Michael Padilla,Altivus CRM Solutions,CEO,contact center operations and consulting services,N/A,,,,Altivus CRM Solutions,rental property,,,contact center specialty,,,,"Michael Padilla/Bernalillo/4501 Harpers Ferry NW, Albuquerque","Michael Padilla/Bernalillo/10736 Four Mile Road SW, Albuquerque","Michael Padilla/Bernalillo/2909 McKinnon Way SW, Albuquerque",,,,,,,,,,,,,,,,,,2013
85,Senate,15,Democrat,,,,,,,2/19/17 9:58,Daniel Ivey-Soto,NM Clerks LLC/InAccord PC,executive director/shareholder,association executive/legal services,Sheri Jett,Albuquerque Public Schools/InAccord,support principal/administrative support,education/clerical,see employer information above/Daniel Ivey-Soto,see employer information above/Sheri Jett,,,general practice/Daniel Ivey-Soto,parliamentary services/Daniel Ivey-Soto,education law/Daniel Ivey-Soto,,,,,,,,,,,,law license/Daniel Ivey-Soto,PED Level 3-A and 3-B/Sheri Jett,,,,,Public Education Commission & Public Education Department/Daniel Ivey-Soto,Workforce Solutions Department/Daniel Ivey-Soto,Secretary of State/Daniel Ivey-Soto,,2013
86,Senate,16,Democrat,,,,,,,2/19/17 9:42,Cisco McSorley,"Cisco McSorley, attorney & CMC consulting",attorney,law/consulting,Joanne McSorley,University of New Mexico,administrative assistant,education,Social Security/Cisco McSorley,real estate/Cisco & Joanne McSorley,law practice/Cisco McSorley,Consulting/Cisco McSorley,corporate,,,,both/Bernalillo/residential rental,,,,,,,,,,law license/Cisco McSorley,,,,,,New Mexico Department of Health/Cisco McSorley,,,,1997
87,Senate,17,Democrat,,,,,,,2/17/17 16:04,Mimi Stewart,retired,,,n/a,,,,ERB pension,Social Security,legislative per diem,,,,,,,,,,,,,,,,teaching license,,,,,,,,,,2015
88,Senate,18,Democrat,,,,,,,2/17/17 16:01,Bill Tallman,retired,,,Rebecca Tallman,retired,,,Social Security/both,IRAs/both,brokerage account/both,,,,,,both/Santa Fe/900 square foot condo,,,,,,,,,,,,,,,,,,,,2017
89,Senate,19,Republican,,,,,,,2/17/17 15:56,James White,N/A,,,N/A,,,,U.S. military pay,Social Security,PERA,,,,,,,,,,,,,,,,,,,,,,,,,,2016
90,Senate,20,Republican,,,,,,,2/18/17 10:23,William Payne,none,,,Deborah Payne,none,,,Navy retirement/both,General stock holdings/both,Sandia National Labs retirement/Deborah Payne,,,,,,William Payne/Rio Arriba/cabin,both/Sandoval/vacant lot,,,,,,,,,law license/William Payne,,,,,,,,,,1997
91,Senate,21,Republican,,,,,,,2/18/17 11:05,Mark Moores,NM Dental Association,ED,association,,,,,NM Dental Association salary,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
92,Senate,22,Democrat,,,,,,,2/17/17 17:08,Benny Shendo Jr.,Pueblo of Jemez,Tribal administrator,Tribal government,N/A,,,,Pueblo of Jemez,,,,,,,,Benny Shendo/Sandoval/rental home in Rio Rancho,Benny Shendo/Sandoval/rental property in San Ysidro,,,,,,,,,,,,,,,,,,,2013
93,Senate,23,Republican,,,,,,,2/18/17 9:18,Sander Rue,Sander Rue Appraisal Services,Owner,real estate appraisal,Wendy Rue,Sandia National Laboratories,office management assistant,national laboratory,income/Sander Rue,income/Wendy Rue,,,,,,,,,,,,,,,,,certified real estate appraiser/Sander Rue,,,,,,,,,,2009
94,Senate,24,Democrat,,,,,,,2/18/17 10:15,Nancy Rodriguez,self-employed,consultant,tribal consultant for Pojoaque Pueblo and Santa Ana Pueblo,N/A,,,,retirement accounts,consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,1996
95,Senate,25,Democrat,,,,,,,2/17/17 15:54,Peter Wirth,"Sawtell, Wirth & Biedscheid",owner/shareholder,law firm,Carol Romero-Wirth,self-employed,,consulting,law practice/Peter Wirth,consulting/Carol Romero-Wirth,real estate/both,stock & bond holdings; dividends & distributions/both,"civil, trial, transactional, mediation/Peter Wirth",environmental sustainability and public policy/Carol Romero-Wirth,,,"both/Santa Fe & Rio Arriba/interest in commercial, residential and vacant land",,,,"Sawtell, Wirth & Biedscheid/Peter Wirth/law firm",House & Lot LLC/Peter Wirth/real estate,,,,,law license/Peter Wirth,law license/Carol Romero-Wirth,,,,,,,,,2004
96,Senate,26,Democrat,,,,,,,2/14/17 14:18,Jacob Candelaria ,"Garcia Law Group, LLC",Attorney,Law firm,,,,,Garcia Law Group,Employer sponsored simple IRA,Traditional IRA,"NM Legislature, per diem",Worker's Compensation,Medical Malpractice,Civil litigation (defense),,,,,,,,,,,,New Mexico Bar,,,"Risk Management Division, contract legal services",,,,,,,2013
97,Senate,27,Republican,,,,,,,2/19/17 9:59,Stuart Ingle,self,,,none,,,,farming and ranching,,,,,,,,Stuart Ingle/Roosevelt/farmland and grass,,,,,,,,,,,,,,,,,,,,1985
98,Senate,28,Democrat,,,,,,,2/18/17 10:59,Henry (Howie) Morales,Gila Regional Medical,director,education,Theresa Morales,Gila Regional Medical & NM Dept. of Health Fort Bayard Medical Center,medical director,behavioral health,spousal employment/wife,,,,,,,,,,,,,,,,,,NM Educator level III/no name listed,,,,,,,,,,2008
99,Senate,29,Republican,,,,,,,2/13/17 19:37,Gregory Baca,Baca Law Offices,Attorney,Law Practice,Cynthia Baca,Clean Slate LLC,Bookkeeper,Carwash,Baca Law Offices,Clean Slate LLC,,,"Real Estate, Estate Plan, Bankruptcy",,,,"Cynthia Baca, Valencia, Vacant land",,,,Baca Law Offices,Clean Slate LLC,,,,,License to practice law/Gregory A. Baca,Notary Public/Gregory A. Baca,Notary Public/Cynthia R. Baca ,,,,,,,,2017
100,Senate,30,Democrat,,,,,,,2/18/17 9:16,Clemente Sanchez,Bank of New Mexico,President/CEO,financial institution,Georgia Routzen-Sanchez,retired,,,salary/Clemente Sanchez,ERB pension/Clemente Sanchez,PERA pension/Georgia Routzen-Sanchez,,,,,,both/Cibola/18.999 acres of land,,,,,,,Bank of New Mexico/Clemente Sanchez,,,licensed clinical social worker/Georgia Routzen-Sanchez,,,,,,,,,,2013
101,Senate,31,Democrat,,,,,,,2/14/17 14:32,Joseph Cervantes,Cervantes Law/Cervantes Scherr Legate L.C.,President,Law firm,Jennifer Cervantes,Community Foundation of Southern New Mexico,Executive Director,Nonprofit,Cervantes Law,Community Foundation of Southern New Mexico,Investments,,Legal-tort law,,,,"Cervantes Agribusiness, LLC (Member); J.F. Apodaca Farms (Member); Cervantes-Apodaca (Member)/Dona Ana/ Farm Land",Cervantes Property Management (Member); Cervantes III Ltd.(Member)/Dona Ana/ Commercial Real Estate,"Shital, LLC; KJD, LLC; /Dona Ana/ Investment property",Cervantes Enterprises (Director) /Dona Ana/Farm produce processing,See real estate listings above for titles.,,,"On Boards of law firm and real estate holdings, except for KJD and Shital. ",,,,,,,,,,,,,2001
102,Senate,32,Republican,,,,,,,2/18/17 10:16,Cliff Pirtle,Pirtle Farms,owner,agricutlrue,Aysia Pirtle,self,"""loving wife and mother""",homemaker,salary/Cliff Pirtle,sharecrop/Cliff Pirtle,,,,,,,,,,,NGO/Cliff Pirtle/germicide,,,,,,,,,,,,,,,,2013
103,Senate,33,Republican,,,,,,,2/14/17 12:13,William Burt,"Burt Broadcasting, Inc. ",Owner,Radio Stations,Donnie Burt,"Burt Broadcasting, Inc. ",Owner/V.P.,Radion Stations,"Burt Broadcasting, Inc. ",Bank 34,First New Mexico Bank ,,,,,,Burt Broadcasting/Otero/10 Acres land with buildings,Burt Broadcasting/Otero/2.3 Acres land with buildings,,,,,,Bank 34,,,,,,,,,,,,,2011
104,Senate,34,Republican,,,,,,,2/19/17 10:05,James Ronald Griggs,ATC Inc.,president,gallery and investments,Joan Griggs,ATC Inc.,COO & secretary,Gallery and investments,contract for purchase of business/both,retirement and Social Security/Joan Griggs,building space rental/both,,,,,,"both/Otero/office building 1100 New York, Alamagordo",,,,Griggs Holdings LLC/both/real estate investment,,,,,,,,,,,,,,,"Sen. Griggs is the co-trustee of the Griggs Family Trust, which owns various real estate in Otero County.",2013
105,Senate,35,Democrat,,,,,,,2/17/17 17:06,John Arthur Smith,semi-retired real estate appraiser,owner,real estate appraiser,Janette Smith,retired educator,,,Smith Appraisal/John Arthur Smith,education department/Janette Smith,,,,,,,John Arthur Smith/Luna/45 acres of desert land,,,,,,,,,,real estate appraisal/John Arthur Smith,,,,,,,,,,1989
106,Senate,36,Democrat,,,,,,,2/17/17 16:57,Jeff Steinborn,New Mexico Wilderness Alliance,Southern New Mexico director,land conservation,N/A,,,,New Mexico Wilderness Alliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
107,Senate,37,Democrat,,,,,,,2/17/17 17:03,William Soules,retired,,,,,,,ERB,rental property,,,,,,,William Soules & multiple owners/Otero/cabin,William Soules/Dona Ana/1.5 acres with rental trailer,William Soules/Lincoln/Timeshare in Ruidoso,,,,,,,,teacher/administrator license,,,,,,,,,,2013
108,Senate,38,Democrat,,,,,,,2/18/17 10:27,Mary Kay Papen,N/A,,,N/A,,,,Social Security,Investments,,,,,,,Mary Kay Papen/Santa Fe/929 Galisteo,Mary Kay Papen/Otero/102 Otero/Cloudcroft,,,,,,,,,,,,,,,,,,,2001
109,Senate,39,Democrat,,,,,,,2/17/17 17:01,"Elizabeth ""Liz"" Stefanics",retired,,,Linda Siegle,Resources for Change,president,government relations,Santa Fe County/Liz Stefanics,PERA/Liz Stefanics,Resources for Change/Linda Siegle,,,,,14 clients listed for Linda Siegle,both/Santa Fe/20 acres undeveloped land,,,,,,,Resources for Change/Linda Siegle,,,,,,,,,New Mexico Department of Health/Linda Siegle,,,,2017
110,Senate,40,Republican,,,,,,,2/13/17 19:45,Craig Brandt,None,,,Tonja Brandt,Montessori Elementary and Middle School,Teacher,Education,Disability (VA),Disability (SSA),Annuity,Salary (Spouse),,,,,,,,,,,,,,,NM Teacher's License (Spouse),,,,,,,,,,2013
111,Senate,41,Republican,,,,,,,2/19/17 9:48,Carroll Leavell,Leavell Insurance Co.,agent/consultant,insurance sales,Bobbie Leavell,retired (housewife),,,Investments & 401K/both,Salary from Leavell Insurance/Carroll Leavell,Pension from El Paso Natural Gas/Bobbie Leavell,Social Security/both,insurance/Carroll Leavell,,,,,,,,,,,,,,"insurance - life, health, property, casualty, surplus lines/Carroll Leavell",,,,,,,,,,1997
112,Senate,42,Republican,,,,,,,2/19/17 9:51,Gay Kernan,retired educator,,,John Kernan,Pecos Valley Medical Group,Doctor,internal medicine,medical practice/John Kernan,rental self-storage/Gay Kernan,ERB retirement/Gay Kernan,Social Security/Gay Kernan,,,,,Gay Kernan/Lincoln/Vacation home,,,,"rental self-storage/Gay Kernan, owner/manager/storage rental",,,,,,teaching license/Gay Kernan,Medical license/John Kernan,,,,,,,,,2002
